coursePrefix,courseNum,fee,section,credits,days,times,building,room,title,prof,days2,times2,building2,room2
ACG,2021,,0002,4,TBA,,,,INTRO FINAN ACCOUNTNG,"Goslinga,Jill Kristen;",,,,
ACG,2071,,0010,4,TBA,,,,INTRO MANAGERIAL ACCT,"Garvin,Deborah R;",,,,
ACG,3101,$1.50,04AA,4,M W,1-2,GER,0126,FIN ACCOUNTING REP 1,"Falk,Christopher W;",,,,
ACG,3101,$1.50,04AB,4,M W,3-4,GER,0126,FIN ACCOUNTING REP 1,STAFF;,,,,
ACG,3401,$1.50,04AC,4,T R,3-4,GER,0121,BUS PROC ACG INFO SYS,"Falk,Christopher W;",,,,
ACG,3401,$1.50,04AE,4,T R,5-6,GER,0121,BUS PROC ACG INFO SYS,"Falk,Christopher W;",,,,
ACG,3802,$.70,9457,1,R,11E1,GER,0126,PROF SPEAKERS SERIES,"Boyles,Jesse V;",,,,
ACG,4111,$1.50,04AF,4,M W,3-4,GER,0121,FIN ACCOUNTING REP 2,"Rupar,Katarzyna;",,,,
ACG,4111,$1.50,04AH,4,M W,5-6,GER,0121,FIN ACCOUNTING REP 2,"Rupar,Katarzyna;",,,,
ACG,4111,$1.50,1319,4,T R,3-4,GER,0126,FIN ACCOUNTING REP 2,"Tucker,Jennifer Wu;",,,,
ACG,4341,$1.50,04A3,4,T R,7-8,GER,0126,COST MGMNT ACCOUNTING,"Vincent,James D;",,,,
ACG,4341,$1.50,04A4,4,T R,9-10,GER,0126,COST MGMNT ACCOUNTING,"Vincent,James D;",,,,
ACG,4632,$1.40,DEPT,3,M W,7-8,GER,0229,INTRO TO AUDITING,"Kielty,Patrick D;",,,,
ACG,4941,,DEPT,VAR,TBA,,,,SUPERVISED INTERNSHIP,"Laibson,John;",,,,
ACG,4970,$.80,DEPT,1,TBA,,,,HONORS THESIS,"Laibson,John;",,,,
ACG,5005,$2.25,DEPT,2,M W,3-4,HGS,250,FINANCIAL ACCOUNTING,"Goslinga,Jill Kristen;",,,,
ACG,5005,$2.25,DEPT,2,M W,5-6,HGS,250,FINANCIAL ACCOUNTING,"Goslinga,Jill Kristen;",,,,
ACG,5075,$2.25,DEPT,2,M W,9-10,HGS,240,MANAGERIAL ACCOUNTING,"Vincent,James D;",,,,
ACG,5075,$2.25,DEPT,2,M W,7-8,HGS,240,MANAGERIAL ACCOUNTING,"Vincent,James D;",,,,
ACG,5075,$2.25,DEPT,2,M W,3-4,HGS,240,MANAGERIAL ACCOUNTING,"Vincent,James D;",,,,
ACG,5226,$2.25,04C7,2,M W,5-6,GER,0122,ADVANCED ACCOUNTING,"Singh,Sonia R;",,,,
